2026-07-15 19:49:38.101 | INFO     | app.services.traci_session:<module>:29 | TraCI / SUMO libraries detected – LIVE mode available.
2026-07-15 19:49:38.163 | INFO     | app.core.state_store:__init__:38 | InMemoryStateStore initialised.
2026-07-15 19:49:38.163 | INFO     | app.websocket.manager:__init__:26 | WebSocketManager initialised.
2026-07-15 19:49:38.187 | INFO     | app.main:lifespan:132 | Using SUMO config path candidate: D:\Humna\7th sms\Implementation\backend\sumo\config\intelliroads.sumocfg
2026-07-15 19:49:38.188 | INFO     | app.services.traci_session:start:121 | Spawning SUMO: C:\Program Files (x86)\Eclipse\Sumo\bin\sumo.exe -c D:\Humna\7th sms\Implementation\backend\sumo\config\intelliroads.sumocfg --remote-port 8813 --step-length 1.0 --no-step-log true --verbose false
2026-07-15 19:49:39.854 | INFO     | app.services.traci_session:start:140 | TraCI connected on localhost:8813  sim_time=0.0s
2026-07-15 19:49:39.854 | INFO     | app.services.vehicle_data_service:__init__:70 | VehicleDataService initialised (mock=False)
2026-07-15 19:49:39.855 | INFO     | app.services.density_calculator:__init__:62 | DensityCalculator initialised with 4 lane(s).
2026-07-15 19:49:39.855 | INFO     | app.services.congestion_detector:__init__:39 | CongestionDetector initialised (threshold=40.0 veh/km).
2026-07-15 19:49:39.855 | INFO     | app.services.signal_controller:__init__:67 | SignalController initialised (mock=False), rules={<DensityLevel.LOW: 'LOW'>: 20.0, <DensityLevel.MEDIUM: 'MEDIUM'>: 35.0, <DensityLevel.HIGH: 'HIGH'>: 55.0}
2026-07-15 19:49:39.856 | INFO     | app.services.kpi_service:__init__:39 | KPIService initialised.
2026-07-15 19:49:39.856 | INFO     | app.main:simulate_loop:57 | Simulation background loop started.
2026-07-15 19:49:39.862 | ERROR    | app.services.traci_session:step:172 | TraCI step() error: Connection closed by SUMO.
2026-07-15 19:49:39.862 | ERROR    | app.services.vehicle_data_service:_collect_from_traci:126 | TraCI getIDList() failed: Connection already closed.
2026-07-15 19:49:39.863 | DEBUG    | app.services.lane_count_service:count_per_lane:49 | count_per_lane result: {}
2026-07-15 19:49:39.864 | DEBUG    | app.services.density_calculator:calculate_all_densities:123 | calculate_all_densities: 4 lane(s), avg=0.00
2026-07-15 19:49:39.864 | DEBUG    | app.services.congestion_detector:detect:75 | detect(): 0 congested lane(s) of 4 monitored.
2026-07-15 19:49:39.865 | WARNING  | app.services.signal_controller:apply_signal:135 | TraCI setPhase failed for junctionA: Connection already closed.
2026-07-15 19:49:39.865 | INFO     | app.utils.logger:log_signal_change:126 | Signal changed at junctionA: NONE → GREEN for 20.0s (DensityLevel.LOW density detected → 20.0s green phase)
